doi	text	relevant	ent1	ent2	
	"This part of the Critique greatly influenced Hegel, whose dialectic proceeds wholly by way of antinomies."		Kant	Hegel	
	"The phrasing shows the influence of Rousseau, but the important idea of a world federation as the way to secure peace is not derived from Rousseau."		Rousseau	Kant	
	"Condorcet (1743-1794) has opinions similar to those of Helvétius, but more influenced by Rousseau."		Helvetius	Condorcet	
			Rousseau	Condorcet	
	"The influence of Napoleon on the imagination of nineteenth-century Europe was very profound; he inspired Clausewitz, Stendhal, Heine, the thought of Fichte and Nietzsche, and the acts of Italian patriots."		Napoleon	Clausewitz	
			Napoleon	Stendhal	
			Napoleon	Heine	
			Napoleon	Fichte	
			Napoleon	Nietzsche	
	"Already at Hamburg he had come under the influence of the romantics, especially Tieck, Novalis, and Hoffmann, from whom he learnt to admire Greece and to think ill of the Hebraic elements in Christianity."		Tieck	Schopenhauer	
			Novalis	Schopenhauer	
			Hoffmann	Schopenhauer	
	It was through the influence of James Mill that Bentham was induced to take sides in practical politics		James Mill	Bentham	
	"The most important bad result was that John Stuart could never quite shake off his influence, even when he perceived that his father’s outlook had been narrow."		James Mill	John Stuart Mill	
	"Darwin himself was influenced by Malthus, and was in general sympathy with the Philosophical Radicals."		Malthus	Darwin	
	"At the university he was influenced by the still prevalent Hegelianism, as also by Feuerbach’s revolt against Hegel towards materialism"		Hegel	Marx	
			Feuerbach	Marx	
	"His sort, which, under Hegelian influence, he called “dialectical,” differed in an important way from traditional materialism, and was more akin to what is now called instrumentalism."		Hegel	Marx	
	"I do not myself accept the thesis as it stands, but I think that it contains very important elements of truth, and I am aware that it has influenced my own views of philosophical development as set forth in the present work."		Marx	Bertrand Russell	
	"Plato was influenced by Parmenides and Orphism; he wanted an eternal world, and could not believe in the ultimate reality of the temporal flux."		Parmenides	Plato	
	"He influenced William James and Whitehead, and had a considerable effect upon French thought"		Henri Bergson	William James	
			Henri Bergson	Whitehead	
	"But although the Hegelian philosophy influenced Dewey in his youth, it still has its Absolute, and its eternal world which is more real than the temporal process."		Hegel	Dewey	
	"Dewey’s love of what is organic is due partly to biology, partly to the lingering influence of Hegel."		Hegel	Dewey	
